Animal ID,Outcome Type,Breed,Color,Altered,Sex,HasName,AgeRange,MixedBreed,MixedColor,StrayHold
A771830,Adoption,Pit Bull,White,Altered,Male,1,Young,1,1,1
A658751,Return to Owner,Rare,Tan,Altered,Male,1,Adult,1,0,0
A746650,Return to Owner,Labrador Retriever,Rare,Intact,Female,1,Young,1,0,0
A750122,Transfer,Labrador Retriever,Black,Intact,Male,1,Young,1,0,0
A784168,Transfer,Rare,Black,Intact,Male,0,Young,1,1,0
A666430,Transfer,Rare,White,Altered,Female,1,Adult,1,1,0
A675708,Adoption,Pit Bull,Blue,Altered,Male,1,Adult,0,1,1
A680386,Transfer,Rare,White,Altered,Male,1,Senior,1,0,0
A664462,Transfer,Rare,Brown,Intact,Male,1,Adult,1,1,1
A762837,Transfer,Rare,Rare,Altered,Male,0,Young,1,1,0
A713785,Transfer,Labrador Retriever,Red,Altered,Male,0,Young,1,0,0
A741783,Adoption,Labrador Retriever,Tan,Altered,Female,0,Young,1,1,0
A764447,Adoption,Pit Bull,Brown,Altered,Female,0,Young,1,1,0
A697000,Return to Owner,Rare,Rare,Altered,Male,1,Adult,1,1,0
A697055,Adoption,Rare,Red,Altered,Female,1,Adult,1,0,0
A646449,Return to Owner,Rare,Brown Brindle,Altered,Female,1,Adult,1,0,0
A784995,Return to Owner,Pit Bull,White,Intact,Male,1,Young,1,1,0
A708122,Transfer,Rare,Rare,Altered,Male,0,Senior,0,1,0
A776856,Adoption,Rare,White,Altered,Female,1,Young,1,1,0
A769032,Adoption,Pit Bull,Black,Altered,Female,1,Young,1,1,1
A740957,Return to Owner,Chihuahua Shorthair,Red,Intact,Male,1,Young,1,1,0
A710320,Return to Owner,Pit Bull,Blue,Altered,Female,1,Adult,1,1,0
A770414,Adoption,Rare,Brown Brindle,Altered,Male,1,Young,1,0,0
A698683,Return to Owner,Rare,Rare,Altered,Male,1,Adult,1,0,0
A770719,Adoption,Rare,Tan,Altered,Male,1,Young,1,1,1
A692618,Transfer,Chihuahua Shorthair,Brown,Altered,Female,1,Adult,1,0,1
A695532,Return to Owner,Rare,White,Altered,Male,1,Adult,1,1,0
A774050,Transfer,Chihuahua Shorthair,Black,Intact,Female,0,Young,1,1,0
A783965,Transfer,Rare,Tan,Altered,Male,1,Young,1,0,1
A720498,Transfer,Rare,Black,Altered,Male,1,Adult,1,1,1
A673652,Transfer,Rare,Black,Altered,Male,1,Adult,1,1,0
A753521,Adoption,Chihuahua Shorthair,Tan,Altered,Female,0,Young,1,0,0
A747615,Return to Owner,Rare,Black,Intact,Female,1,Young,1,1,0
A700449,Return to Owner,Rare,Black,Altered,Female,1,Adult,1,1,0
A731736,Transfer,Pit Bull,White,Altered,Female,1,Adult,1,0,0
A745854,Return to Owner,Chihuahua Shorthair,Black,Altered,Female,1,Young,1,1,0
A698477,Adoption,Chihuahua Shorthair,Black,Altered,Male,1,Adult,1,1,0
A677679,Adoption,Chihuahua Shorthair,Black,Altered,Male,1,Adult,1,0,0
A764464,Transfer,Rare,Black,Altered,Female,1,Young,1,1,0
