Animal ID,Name,Outcome Type,Breed,Color,Year of Birth,Altered,Sex
A771830,*Bradley,Adoption,Pit Bull Mix,White/Blue,2017,Altered,Male
A658751,Benji,Return to Owner,Border Terrier Mix,Tan,2011,Altered,Male
A746650,Rose,Return to Owner,Labrador Retriever/Jack Russell Terrier,Yellow,2016,Intact,Female
A750122,Happy Camper,Transfer,Labrador Retriever Mix,Black,2017,Intact,Male
A784168,,Transfer,English Springer Spaniel Mix,Black/White,2018,Intact,Male
A666430,Lucy,Transfer,Beagle Mix,White/Brown,2012,Altered,Female
A675708,*Johnny,Adoption,Pit Bull,Blue/White,2013,Altered,Male
A680386,Monday,Transfer,Miniature Schnauzer Mix,White,2005,Altered,Male
A664462,*Edgar,Transfer,Leonberger Mix,Brown/White,2013,Intact,Male
A762837,,Transfer,Australian Shepherd/Nova Scotia Duck Tolling Retriever,Chocolate/White,2016,Altered,Male
A713785,,Transfer,Labrador Retriever Mix,Red,2015,Altered,Male
A741783,,Adoption,Labrador Retriever Mix,Tan/White,2016,Altered,Female
A764447,,Adoption,Pit Bull Mix,Brown/White,2017,Altered,Female
A697000,Boone,Return to Owner,English Springer Spaniel Mix,Liver/White,2009,Altered,Male
A697055,Megatron,Adoption,Dachshund/Chihuahua Shorthair,Red,2012,Altered,Female
A646449,Ruby,Return to Owner,Catahoula/Labrador Retriever,Brown Brindle,2012,Altered,Female
A784995,White Boy,Return to Owner,Pit Bull Mix,White/Black,2018,Intact,Male
A708122,,Transfer,Pug,Fawn/Black,2005,Altered,Male
A776856,Moomoo,Adoption,French Bulldog/Pit Bull,White/Black,2016,Altered,Female
A769032,*Lindi,Adoption,Pit Bull Mix,Black/White,2015,Altered,Female
A740957,Gio,Return to Owner,Chihuahua Shorthair Mix,Red/Tan,2015,Intact,Male
A710320,Yoshi,Return to Owner,Pit Bull Mix,Blue/White,2010,Altered,Female
A770414,Church,Adoption,Plott Hound Mix,Brown Brindle,2017,Altered,Male
A698683,Toby,Return to Owner,Chihuahua Longhair Mix,Cream,2011,Altered,Male
A770719,*Calvin,Adoption,Border Terrier Mix,Tan/White,2016,Altered,Male
A692618,*Ella,Transfer,Chihuahua Shorthair Mix,Brown,2011,Altered,Female
A695532,Charlie,Return to Owner,Treeing Walker Coonhound Mix,White/Brown,2013,Altered,Male
A774050,,Transfer,Chihuahua Shorthair Mix,Black/White,2015,Intact,Female
A783965,*Arnie,Transfer,Norfolk Terrier Mix,Tan,2015,Altered,Male
A720498,*Valentino,Transfer,Pug/Border Terrier,Black/Tan,2014,Altered,Male
A673652,Fancy,Transfer,Papillon/Border Collie,Black/White,2012,Altered,Male
A753521,,Adoption,Chihuahua Shorthair Mix,Tan,2016,Altered,Female
A747615,Luna,Return to Owner,Siberian Husky Mix,Black/White,2016,Intact,Female
A700449,Nala,Return to Owner,Cocker Spaniel Mix,Black/White,2010,Altered,Female
A731736,Novah,Transfer,Pit Bull Mix,White,2013,Altered,Female
A745854,Preciosa,Return to Owner,Chihuahua Shorthair Mix,Black/Tan,2016,Altered,Female
A698477,Spike,Adoption,Chihuahua Shorthair Mix,Black/White,2013,Altered,Male
A677679,Kash,Adoption,Chihuahua Shorthair/Pomeranian,Black,2014,Altered,Male
A764464,Pepper,Transfer,Soft Coated Wheaten Terrier Mix,Black/Tricolor,2017,Altered,Female
A764464,Pepper,Transfer,Soft Coated Wheaten Terrier Mix,Black/Tricolor,2017,Altered,Female
A740514,,Transfer,Norfolk Terrier Mix,Tan/Black,2014,Altered,Male
A640655,Sandy,Return to Owner,Miniature Schnauzer/Miniature Poodle,White,2009,Altered,Female
A713715,Cheyenne,Adoption,Dachshund Wirehair/Miniature Poodle,Blue/Tan,2006,Altered,Female
A680396,*Truman,Transfer,Rat Terrier Mix,White/Black,2012,Altered,Male
A714040,*Martie,Transfer,Chihuahua Shorthair Mix,Tricolor,2013,Altered,Female
A674298,*Newt,Transfer,Pit Bull Mix,Brown Brindle/White,2013,Altered,Male
A741095,*Sassy,Adoption,Cairn Terrier Mix,White/Brown,2013,Altered,Female
A690350,Shy,Return to Owner,Labrador Retriever Mix,Black,2006,Altered,Male
A744786,*Patrick,Transfer,Pomeranian Mix,Brown/Black,2007,Altered,Male
A769859,*Theo,Adoption,Swedish Vallhund Mix,Tan/Black,2011,Altered,Male
A735529,Luna,Return to Owner,Labrador Retriever Mix,Brown/White,2013,Altered,Female
A721371,Georgo,Return to Owner,Labrador Retriever Mix,Chocolate/Tan,2012,Altered,Male
A694884,Bessie,Adoption,Australian Cattle Dog Mix,White/Brown,2013,Altered,Female
A748002,*Merlin,Adoption,Pit Bull Mix,Blue/White,2015,Altered,Male
A722553,,Transfer,Labrador Retriever/Pit Bull,Black/White,2016,Intact,Male
A424158,Chucho,Return to Owner,Chihuahua Shorthair Mix,Tan/White,2005,Altered,Male
A740708,,Adoption,German Shepherd/Great Pyrenees,Tan/White,2016,Intact,Male
A724478,Shadow,Adoption,Flat Coat Retriever Mix,Black,2015,Altered,Male
A776709,River,Adoption,Labrador Retriever Mix,Tan/White,2018,Altered,Female
A737612,*Pippi,Adoption,Chihuahua Shorthair Mix,Brown/White,2013,Altered,Female
A724499,Max,Adoption,German Shepherd Mix,Sable,2012,Altered,Male
A729193,*Bailey,Adoption,Pit Bull/Labrador Retriever,White/Brown,2016,Altered,Female
A699029,Shadow,Return to Owner,German Shepherd,Black,2012,Intact,Female
A657388,Sargento,Return to Owner,Rhod Ridgeback Mix,Red/White,2008,Altered,Male
